Old,New,productname,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,nutrition-score-fr_100g,new_scores,new_nutri_grades,utility_1,utility_2,utility_3,utility_4,utility_5,utility_6
1689,745,Le vacherin Vanille Framboise,c,743.0,2.4,31.0,0.6,1.5,0.036,10.0,11.809524,c,3.047619,0.42857143,0.0,0.0,5.1904762,3.1428571
4308,746,Tartelettes Framboise Faa§on Crumble,e,1833.0,11.0,35.0,0.0,4.5,0.04,22.0,11.0,c,1.047619,0.42857143,0.0,0.0,6.3809524,3.1428571
3094,747,Barres cereales Chocolat Banane,d,1664.0,5.2,26.0,3.2,5.6,0.144,12.0,12.428571,c,1.047619,0.42857143,0.0,1.952381,6.3809524,2.6190476
4765,748,Brownies mini aux pepites de chocolat,d,1908.0,4.0,37.0,2.7,5.7,0.08,14.0,12.190476,c,1.047619,0.42857143,0.0,1.7142857,6.3809524,2.6190476
3276,749,Saveur  lemon',d,107.0,0.0,6.3,0.0,0.0,0.012,9.0,11.238095,c,3.6666667,3.047619,1.3809524,0.0,0.0,3.1428571
4113,750,Cake au thon,c,1218.0,3.6,3.2,3.7,12.7,0.52,8.0,14.095238,b,1.3809524,0.42857143,2.4285714,1.952381,6.9047619,1.0
1699,751,Guisantes y zanahorias,a,211.0,0.1,3.7,4.1,2.8,0.2,-8.0,18.333333,a,3.047619,3.047619,2.4285714,1.952381,5.2380952,2.6190476
3309,752,Assortiment de Chocolats Noirs,e,2262.0,21.0,48.0,5.9,5.1,0.012,21.0,11.47619,c,8.8817842e-16,0.0,0.0,1.952381,6.3809524,3.1428571
854,753,Comte,d,1700.0,22.0,0.0,0.0,26.0,0.32,13.0,11.952381,c,1.047619,0.0,2.4285714,0.0,6.9047619,1.5714286
4914,754,Pain Complet,a,1021.0,0.7,0.5,6.7,11.0,0.52,-2.0,17.714286,a,2.3809524,3.047619,2.4285714,1.952381,6.9047619,1.0
3668,755,Yogur natural,a,221.0,1.7,3.7,0.0,3.5,0.04,-1.0,15.952381,b,3.047619,1.4761905,2.4285714,0.0,5.8571429,3.1428571
3594,756,Sans sucres ajoutes* *Contient des sucres naturellement presents,a,234.0,0.0,11.0,2.2,0.0,0.0,-5.0,11.619048,c,3.047619,3.047619,1.2857143,1.0952381,0.0,3.1428571
1339,757,Puree pommes fraises,a,218.0,0.2,9.4,1.3,0.0,0.0,-4.0,10.52381,c,3.047619,3.047619,1.2857143,0.0,0.0,3.1428571
806,758,Compote pomme vanille,a,218.0,0.0,11.0,0.0,0.0,0.0,-3.0,10.52381,c,3.047619,3.047619,1.2857143,0.0,0.0,3.1428571
3641,759,Shiny'acid,d,1425.0,0.1,63.0,0.5,5.4,0.008,14.0,13.952381,b,1.3809524,3.047619,0.0,0.0,6.3809524,3.1428571
3991,760,Breaks goa»t tout chocolat,d,1942.0,6.6,36.0,5.4,7.2,0.156,14.0,12.428571,c,1.047619,0.42857143,0.0,1.952381,6.3809524,2.6190476
5128,761,Tzatziki a  la grecque,c,761.0,4.3,2.2,2.3,4.6,0.24,4.0,15.428571,b,2.4761905,0.42857143,2.4285714,1.0952381,6.3809524,2.6190476
3547,762,Cassoulet de Castelnaudary,a,623.0,3.5,0.0,4.0,11.0,0.392,-1.0,16.333333,b,3.047619,0.42857143,2.4285714,1.952381,6.9047619,1.5714286
1332,763,Lardons nature,e,1268.0,10.0,1.3,0.0,14.0,1.4,22.0,11.142857,c,1.3809524,0.42857143,2.4285714,0.0,6.9047619,0.0
3505,764,La Pizza Raclette Bacon Fume,d,1050.0,4.7,1.7,1.8,12.0,0.6,12.0,13.0,b,2.3809524,0.42857143,2.4285714,0.42857143,6.9047619,0.42857143
5455,765,Tranchettes de Comte,d,1784.0,23.0,0.5,1.2,27.0,0.36,12.0,11.952381,c,1.047619,0.0,2.4285714,0.0,6.9047619,1.5714286
1357,766,Carrefour La pizza chevre - lardons fumes,d,1086.0,5.5,1.8,1.8,11.0,0.52,12.0,13.571429,b,2.3809524,0.42857143,2.4285714,0.42857143,6.9047619,1.0
1286,767,Jambon Serrano 11 mois Filiere Qualite,e,1213.0,6.6,0.5,0.0,32.0,2.12,19.0,12.142857,c,2.3809524,0.42857143,2.4285714,0.0,6.9047619,0.0
3221,768,Raclette fumee,d,1370.0,18.0,0.5,0.0,23.0,0.68,16.0,11.142857,c,1.3809524,0.0,2.4285714,0.0,6.9047619,0.42857143
5225,769,Sauce Cocktail L'Onctueuse,e,1987.0,4.7,15.0,1.3,1.5,0.8,19.0,7.952381,d,1.047619,0.42857143,1.2857143,0.0,5.1904762,0.0
4981,770,Nos melanges gourmands,a,1443.0,0.5,0.9,9.5,15.0,0.008,-6.0,18.857143,a,1.3809524,3.047619,2.4285714,1.952381,6.9047619,3.1428571
3168,771,Multifruits,d,167.0,0.0,9.8,0.0,0.0,0.0,9.0,10.52381,c,3.047619,3.047619,1.2857143,0.0,0.0,3.1428571
1756,772,Brioche Tranchee,d,1419.0,7.9,13.0,2.0,7.0,0.36,14.0,11.47619,c,1.3809524,0.42857143,1.2857143,0.42857143,6.3809524,1.5714286
5012,773,Jambon cuit,c,460.0,1.0,0.8,0.0,20.0,0.76,4.0,13.857143,b,3.047619,1.4761905,2.4285714,0.0,6.9047619,0.0
1010,774,Pate a  tartiner  DUO,e,2216.0,10.0,63.0,2.2,3.4,0.06,23.0,10.52381,c,-8.8817842e-16,0.42857143,0.0,1.0952381,5.8571429,3.1428571
2346,775,Muesli croustillant chocolat,d,1849.0,9.1,25.0,8.0,8.5,0.02,14.0,12.952381,c,1.047619,0.42857143,0.0,1.952381,6.3809524,3.1428571
4123,776,speciale pizza-huile d'olive pimente,e,3766.0,100.0,0.0,0.0,0.0,0.0,20.0,5.5714286,d,0.0,0.0,2.4285714,0.0,0.0,3.1428571
4465,777,Galette des Rois Frangipane,d,1736.0,13.0,14.2,0.0,5.8,0.0,18.0,11.857143,c,1.047619,0.0,1.2857143,0.0,6.3809524,3.1428571
5547,778,"Spaghetti, Au ble complet",a,1456.0,0.6,4.7,9.3,12.2,0.0,-5.0,18.857143,a,1.3809524,3.047619,2.4285714,1.952381,6.9047619,3.1428571
4064,779,Sandwich Jambon bacon oeuf,b,766.0,0.9,3.4,3.0,8.8,0.6,0.0,15.142857,b,2.4761905,1.4761905,2.4285714,1.952381,6.3809524,0.42857143
1713,780,Barritas de cereales Avellanas,c,1726.0,1.4,25.0,4.7,7.4,0.24,9.0,13.47619,b,1.047619,1.4761905,0.0,1.952381,6.3809524,2.6190476
2621,781,Jus de pommes & poire,b,197.0,0.5,11.0,0.0,0.5,0.004,2.0,14.333333,b,3.047619,3.047619,1.2857143,0.0,3.8095238,3.1428571
416,782,Saucisses aux Lentilles Cuisinees,b,452.0,1.8,1.1,2.3,6.9,0.44,0.0,15.904762,b,3.047619,1.4761905,2.4285714,1.0952381,6.3809524,1.4761905
253,783,Nuggets de Poulet,c,1012.0,2.7,1.4,2.1,11.0,0.48,3.0,14.666667,b,2.3809524,0.42857143,2.4285714,1.0952381,6.9047619,1.4285714
